MID	mean	std
SERg0	79.718	2.241645824
SERg1	10.79	1.701046737
SERg2	4.002	0.605223926
SERg3	5.486	0.16511814
SERc0	81.316	2.364120132
SERc1	7.726	1.239687057
SERc2	3.07	0.437767061
SERc3	7.888	0.797581344
SERp0	30.788	4.168977812
SERp1	69.212	4.168977812
SERp2	0	0
SERp3	0	0
GLYg0	94.232	1.163054599
GLYg1	2.252	0.807648438
GLYg2	3.514	0.469621124
GLYc0	93.834	0.696637639
GLYc1	2.79	0.473582094
GLYc2	3.374	0.48808196
PGg0	87.33	2.108731846
PGg1	4.99	1.133424016
PGg2	0.645	1.117172771
PGg3	7.0375	2.364892968
PGc0	83.956	5.229816823
PGc1	5.446	2.032541266
PGc2	0	0
PGc3	10.598	3.594208675
