MID	mean	std
SERg0	76.46333333	4.283256809
SERg1	15.26	1.768784894
SERg2	5.563333333	1.171731862
SERg3	2.716666667	1.38473423
SERc0	82.1725	4.158673917
SERc1	7.135	1.126021758
SERc2	3.065	0.68885775
SERc3	7.6275	2.501423345
SERp0	40.995	8.247561761
SERp1	59.005	8.247561761
SERp2	0	0
SERp3	0	0
GLYg0	91.12	1.217976464
GLYg1	4.373333333	0.462337058
GLYg2	4.51	0.841942199
GLYc0	91.725	1.843291892
GLYc1	3.6775	0.931728904
GLYc2	4.5975	0.927587597
PGg0	84.43333333	4.643449388
PGg1	3.39	0.99629313
PGg2	1.31	1.852619767
PGg3	10.86666667	4.157117057
PGc0	93.675	0.684196609
PGc1	0.55	0.952627944
PGc2	0	0
PGc3	5.775	0.560468554
