MID	mean
DN0	35.52566971
DN1	25.26508964
DN2	13.69296268
DN3	11.27951328
DN4	6.368465105
DN5	4.995867061
R5P0	67.84833333
R5P1	3.935
R5P2	9.538333333
R5P3	11.12666667
R5P4	2.326666667
R5P5	5.221666667
IMP0	89.41285714
IMP1	1.8
IMP2	2.074285714
IMP3	2.461428571
IMP4	1.352857143
IMP5	2.145714286
GMP0	87.01857143
GMP1	1.752857143
GMP2	2.98
GMP3	3.05
GMP4	1.462857143
GMP5	2.948571429
INO0	90.09
INO1	1.544285714
INO2	2.352857143
INO3	2.264285714
INO4	1.121428571
INO5	1.954285714
GUO0	85.95
GUO1	2.43
GUO2	3.121428571
GUO3	3.338571429
GUO4	1.434285714
GUO5	3.147142857
GDP0	84.44714286
GDP1	2.94
GDP2	3.217142857
GDP3	3.51
GDP4	1.732857143
GDP5	3.39
AMP0	91.41428571
AMP1	1.127142857
AMP2	1.804285714
AMP3	2.034285714
AMP4	1.055714286
AMP5	1.827142857
