MID	mean
DN0	43.38814456
DN1	23.14741673
DN2	12.81638612
DN3	8.697436136
DN4	4.405026609
DN5	4.71137972
R5P0	73.72056488
R5P1	4.360847229
R5P2	7.117906322
R5P3	7.166122651
R5P4	2.304778165
R5P5	5.32978075
IMP0	82.91792406
IMP1	2.334878704
IMP2	4.287761227
IMP3	3.404413586
IMP4	2.308457306
IMP5	3.726942906
GMP0	72.29034215
GMP1	3.847307908
GMP2	6.691168663
GMP3	5.880275368
GMP4	3.688145444
GMP5	6.544843751
INO0	84.52330975
INO1	3.152571227
INO2	3.619968757
INO3	3.034459099
INO4	1.798683187
INO5	3.383006238
GUO0	77.25307307
GUO1	3.17262011
GUO2	5.192829056
GUO3	5.263072254
GUO4	2.708037941
GUO5	6.084154199
GDP0	89.11457519
GDP1	1.02192435
GDP2	3.04347163
GDP3	2.328789096
GDP4	1.555082458
GDP5	3.63609162
AMP0	85.18728061
AMP1	1.997885675
AMP2	3.734022502
AMP3	2.962381689
AMP4	2.015017599
AMP5	3.20664712
