MID	mean
DN0	77.68719426
DN1	11.52747566
DN2	4.238992086
DN3	4.841797835
DN4	0.943362346
DN5	1.199796931
R5P0	89.41333333
R5P1	0.703333333
R5P2	3.346666667
R5P3	4.956666667
R5P4	0.33
R5P5	1.25
IMP0	98.54
IMP1	0
IMP2	0.31
IMP3	0.786666667
IMP4	0
IMP5	0.293333333
GMP0	99.59333333
GMP1	0
GMP2	0
GMP3	0.21
GMP4	0.083333333
GMP5	0.11
INO0	99.03666667
INO1	0
INO2	0.086666667
INO3	0.436666667
INO4	0.206666667
INO5	0.226666667
GUO0	98.73
GUO1	0.323333333
GUO2	0.2
GUO3	0.386666667
GUO4	0.16
GUO5	0.196666667
GDP0	99.05333333
GDP1	0
GDP2	0.236666667
GDP3	0.39
GDP4	0.11
GDP5	0.21
AMP0	99.10333333
AMP1	0
AMP2	0.046666667
AMP3	0.423333333
AMP4	0.2
AMP5	0.22
