MID	mean
DN0	66.52727262
DN1	14.47174158
DN2	8.950775331
DN3	8.93245875
DN4	1.38862193
DN5	0.164454043
R5P0	78.5
R5P1	4.253333333
R5P2	8.32
R5P3	8.93
R5P4	0
R5P5	0
IMP0	97.61666667
IMP1	0.59
IMP2	1.08
IMP3	0.633333333
IMP4	0
IMP5	0.083333333
GMP0	97.47333333
GMP1	1.58
GMP2	0.333333333
GMP3	0.493333333
GMP4	0.09
GMP5	0
INO0	97.47666667
INO1	1.126666667
INO2	0.65
INO3	0
INO4	0.75
INO5	0
GUO0	96.64
GUO1	3.36
GUO2	0
GUO3	0
GUO4	0
GUO5	0
GDP0	97.01666667
GDP1	1.54
GDP2	0.803333333
GDP3	0.373333333
GDP4	0.093333333
GDP5	0.176666667
AMP0	98.57
AMP1	0.746666667
AMP2	0.22
AMP3	0.27
AMP4	0.063333333
AMP5	0.123333333
