MID	mean	std
SERg0	92.65	0.66053009
SERg1	4.993333333	0.486860692
SERg2	1.576666667	0.046188022
SERg3	0.783333333	0.137961347
SERc0	90.48	0.563205114
SERc1	5.97	0.445084262
SERc2	1	0.14525839
SERc3	2.553333333	0.258134332
SERp0	72.04333333	0.94732958
SERp1	27.95666667	0.94732958
SERp2	0	0
SERp3	0	0
GLYg0	98.58	0.108166538
GLYg1	0.35	0.216333077
GLYg2	1.07	0.108166538
GLYc0	98.35666667	0.220529665
GLYc1	0.23	0.157162336
GLYc2	1.413333333	0.070945989
PGg0	88.54333333	0.2081666
PGg1	0.493333333	0.058594653
PGg2	0.61	0.01
PGg3	10.36	0.157162336
PGc0	82.83666667	0.230289673
PGc1	0.663333333	0.040414519
PGc2	0.59	0.04
PGc3	15.91333333	0.19655364
