MID	mean	std
SERg0	93.28333333	1.986588365
SERg1	5.49	0.58403767
SERg2	0.566666667	0.491155101
SERg3	0.66	1.143153533
SERc0	90.07333333	0.402036483
SERc1	5.16	0.464865572
SERc2	0.673333333	0.030550505
SERc3	4.093333333	0.106926766
SERp0	39.34	2.687768591
SERp1	60.66	2.687768591
SERp2	0	0
SERp3	0	0
GLYg0	98.61333333	0.274651294
GLYg1	0.363333333	0.316596483
GLYg2	1.02	0.05
GLYc0	98.17666667	0.19857828
GLYc1	0	0
GLYc2	1.823333333	0.19857828
PGg0	91.77	0.980459076
PGg1	0.736666667	0.777838886
PGg2	0.14	0.242487113
PGg3	7.356666667	0.590028248
PGc0	88.58666667	6.424440313
PGc1	1.963333333	3.400593086
PGc2	0	0
PGc3	9.453333333	3.031209879
