ids	cell_type
X1001000180.G9	X1001000180.G9	Astrocyte
X1001000180.G12	X1001000180.G12	Astrocyte
X1001000180.E4	X1001000180.E4	Astrocyte
X1001000180.H9	X1001000180.H9	Astrocyte
X1001000180.H11	X1001000180.H11	Astrocyte
X1001000180.B1	X1001000180.B1	Astrocyte
X1001000180.G4	X1001000180.G4	Astrocyte
X1001000180.F10	X1001000180.F10	Astrocyte
X1001000180.H6	X1001000180.H6	Astrocyte
X1001000181.D8	X1001000181.D8	Astrocyte
X1001000181.E1	X1001000181.E1	Astrocyte
X1001000181.F12	X1001000181.F12	Astrocyte
X1001000181.E3	X1001000181.E3	Astrocyte
X1001000181.D2	X1001000181.D2	Astrocyte
X1001000181.C4	X1001000181.C4	Astrocyte
X1001000181.F6	X1001000181.F6	Astrocyte
X1001000181.D1	X1001000181.D1	Astrocyte
X1001000186.B4	X1001000186.B4	Astrocyte
X1001000186.E9	X1001000186.E9	Astrocyte
X1001000186.H6	X1001000186.H6	Astrocyte
X1001000187.G3	X1001000187.G3	Astrocyte
X1001000187.D2	X1001000187.D2	Astrocyte
X1001000187.H1	X1001000187.H1	Astrocyte
X1001000187.E3	X1001000187.E3	Astrocyte
X1001000187.F4	X1001000187.F4	Astrocyte
X1001000187.F9	X1001000187.F9	Astrocyte
X1001000018.D10	X1001000018.D10	Astrocyte
X1001000018.F11	X1001000018.F11	Astrocyte
X1001000028.D10	X1001000028.D10	Astrocyte
X1001000232.E4	X1001000232.E4	Astrocyte
X1001000253.G6	X1001000253.G6	Astrocyte
X1001000253.H2	X1001000253.H2	Astrocyte
X1001000253.B11	X1001000253.B11	Astrocyte
X1001000253.E5	X1001000253.E5	Astrocyte
X1001000253.E12	X1001000253.E12	Astrocyte
X1001000253.G12	X1001000253.G12	Astrocyte
X1001000253.E9	X1001000253.E9	Astrocyte
X1001000253.H5	X1001000253.H5	Astrocyte
X1001000253.H1	X1001000253.H1	Astrocyte
X1001000253.E4	X1001000253.E4	Astrocyte
X1001000253.D8	X1001000253.D8	Astrocyte
X1001000253.C10	X1001000253.C10	Astrocyte
X1001000253.C4	X1001000253.C4	Astrocyte
X1001000253.G1	X1001000253.G1	Astrocyte
X1001000253.A8	X1001000253.A8	Astrocyte
X1001000253.H4	X1001000253.H4	Astrocyte
X1001000253.D5	X1001000253.D5	Astrocyte
X1001000253.C6	X1001000253.C6	Astrocyte
X1001000253.G7	X1001000253.G7	Astrocyte
X1001000254.G7	X1001000254.G7	Astrocyte
X1001000254.C11	X1001000254.C11	Astrocyte
X1001000254.G10	X1001000254.G10	Astrocyte
X1001000254.D10	X1001000254.D10	Astrocyte
X1001000254.E1	X1001000254.E1	Astrocyte
X1001000254.A10	X1001000254.A10	Astrocyte
X1001000254.F4	X1001000254.F4	Astrocyte
X1001000254.F12	X1001000254.F12	Astrocyte
