,SERa,SERg,SERn
X1001000180.G9,0.0050890297,-0.001676701,0.00041651633
X1001000180.G12,-0.02400278,-0.001896657,0.00042163208
X1001000180.E4,0.035904013,-0.001676701,0.00041651633
X1001000180.H9,0.0069079697,-0.001676701,0.00041651633
X1001000180.H11,-0.015747212,-0.001676701,0.00041651633
X1001000180.B1,-0.0136486795,-0.001676701,0.00041651633
X1001000180.G4,-0.0026640277,-0.002536133,0.0004464304
X1001000180.F10,0.0071815513,-0.001676701,0.00041651633
X1001000180.H6,-0.022520497,-0.001676701,0.00041651633
X1001000181.D8,0.059635125,-0.0016770512,0.00041655824
X1001000181.E1,0.016935643,-0.001676701,0.00041651633
X1001000181.F12,-0.111585364,-0.0016767085,0.00041651633
X1001000181.E3,0.024539014,-0.0018482134,0.00041976757
X1001000181.D2,0.02115706,-0.001676701,0.00041651633
X1001000181.C4,-0.094255544,-0.0016767085,0.00041651772
X1001000181.F6,0.012927679,-0.001676701,0.00041651633
X1001000181.D1,0.04657093,-0.001676701,0.00041651633
X1001000186.B4,0.020044498,-0.0016768277,0.00041653216
X1001000186.E9,-0.027011119,-0.0016767085,0.00041651772
X1001000186.H6,0.0065350216,-0.001676701,0.00041651633
X1001000187.G3,0.0045332517,-0.001676701,0.00041651633
X1001000187.D2,-0.008471858,-0.001676701,0.00041651633
X1001000187.H1,-0.0029865112,-0.001676701,0.00041651633
X1001000187.E3,0.007652588,-0.001676701,0.00041651633
X1001000187.F4,-0.03227622,-0.0016767085,0.00041651726
X1001000187.F9,-0.0021901624,-0.001676701,0.00041651633
X1001000018.D10,0.038196646,-0.0016768798,0.00041653635
X1001000018.F11,-0.005022839,-0.002502039,0.000444822
X1001000028.D10,-0.0008514812,-0.0049215704,0.00045808684
X1001000232.E4,-0.013709679,-0.001676701,0.00041651633
X1001000253.G6,0.06928472,-0.001676701,0.00041651586
X1001000253.H2,-0.028693145,-0.001676701,0.00041651633
X1001000253.B11,-0.008982342,-0.001676701,0.00041651633
X1001000253.E5,0.024681851,-0.0016767383,0.00041652098
X1001000253.E12,-0.013609634,-0.001676701,0.00041651633
X1001000253.G12,-0.019929884,-0.001676701,0.00041651633
X1001000253.E9,0.01066261,-0.001676701,0.00041651633
