,PGa_SERa,PGg_SERg,PGn_SERn,SERa_SERs,SERs_SERg,SERs_SERn,SERa_SERaout,SERg_SERgout,SERn_SERnout,SERa_GLYa,SERg_GLYg,SERn_GLYn
X1001000180.G9,0.65304136,0.10633035,0.008680028,0.43949416,0.0017602657,0.0030319877,0.16517435,0.0024246427,0.0054524923,0.04328382,0.107342675,0.005843007
X1001000180.G12,0.090132244,0.106336586,0.008689457,0.09528074,0.001809862,0.0030599432,0.009975735,0.002699941,0.0054847607,0.008878551,0.10734317,0.005843007
X1001000180.E4,0.6615351,0.10633035,0.008680028,0.4059969,0.0017602657,0.0030319877,0.19905794,0.0024246427,0.0054524923,0.020576246,0.107342675,0.005843007
X1001000180.H9,0.6988118,0.10633035,0.008680028,0.38949823,0.0017602657,0.0030319877,0.28477657,0.0024246427,0.0054524923,0.017629057,0.107342675,0.005843007
X1001000180.H11,0.62759554,0.10633035,0.008680028,0.43664402,0.0017602657,0.0030319877,0.18338035,0.0024246427,0.0054524923,0.023318388,0.107342675,0.005843007
X1001000180.B1,0.55377054,0.10633035,0.008680028,0.3965255,0.0017602657,0.0030319877,0.15773815,0.0024246427,0.0054524923,0.01315557,0.107342675,0.005843007
X1001000180.G4,0.030208593,0.106354155,0.008728809,0.017419146,0.0019539394,0.003143009,0.0035068477,0.0034994967,0.00558238,0.011946627,0.10734473,0.005843007
X1001000180.F10,0.6316404,0.10633035,0.008680028,0.40166587,0.0017602657,0.0030319877,0.20838995,0.0024246427,0.0054524923,0.014403004,0.107342675,0.005843007
X1001000180.H6,0.58446825,0.10633035,0.008680028,0.39489123,0.0017602657,0.0030319877,0.19842452,0.0024246427,0.0054524923,0.013672993,0.107342675,0.005843007
X1001000181.D8,0.5580158,0.10633036,0.008680076,0.23648763,0.0017603077,0.0030320555,0.236077,0.0024250413,0.005452567,0.025816077,0.107342675,0.005843007
X1001000181.E1,0.5919565,0.10633035,0.008680028,0.37970993,0.0017602657,0.0030319877,0.17709686,0.0024246427,0.0054524923,0.018214066,0.107342675,0.005843007
X1001000181.F12,0.31824303,0.10633035,0.008680028,0.32770792,0.001760266,0.0030319884,0.09243872,0.0024246462,0.005452493,0.009681753,0.107342675,0.005843007
X1001000181.E3,0.22131152,0.1063354,0.008686681,0.13105439,0.0017991695,0.003053668,0.055432837,0.0026397202,0.0054775747,0.010285286,0.10734306,0.005843007
X1001000181.D2,0.67210394,0.10633035,0.008680028,0.4201836,0.0017602657,0.0030319877,0.21350256,0.0024246427,0.0054524923,0.017260727,0.107342675,0.005843007
X1001000181.C4,0.35126263,0.10633035,0.008680029,0.34800348,0.0017602666,0.003031989,0.08730436,0.0024246508,0.0054524937,0.010210337,0.107342675,0.005843007
X1001000181.F6,0.71220136,0.10633035,0.008680028,0.39682105,0.0017602657,0.0030319877,0.28490347,0.0024246427,0.0054524923,0.017549159,0.107342675,0.005843007
X1001000181.D1,0.71715146,0.10633035,0.008680028,0.36424944,0.0017602657,0.0030319877,0.28758222,0.0024246427,0.0054524923,0.018748876,0.107342675,0.005843007
X1001000186.B4,0.53497916,0.10633035,0.008680047,0.31817862,0.0017602803,0.0030320114,0.1823222,0.0024247805,0.0054525184,0.014433838,0.107342675,0.005843007
X1001000186.E9,0.49010867,0.10633035,0.008680029,0.37192306,0.0017602665,0.003031989,0.13160172,0.0024246506,0.0054524937,0.013595007,0.107342675,0.005843007
X1001000186.H6,0.6602197,0.10633035,0.008680028,0.39598894,0.0017602657,0.0030319877,0.24181353,0.0024246427,0.0054524923,0.01588224,0.107342675,0.005843007
X1001000187.G3,0.6883888,0.10633035,0.008680028,0.39514533,0.0017602657,0.0030319877,0.27162725,0.0024246427,0.0054524923,0.017082999,0.107342675,0.005843007
X1001000187.D2,0.6010725,0.10633035,0.008680028,0.40028536,0.0017602657,0.0030319877,0.19469723,0.0024246427,0.0054524923,0.014561754,0.107342675,0.005843007
X1001000187.H1,0.621961,0.10633035,0.008680028,0.39198777,0.0017602657,0.0030319877,0.21605465,0.0024246427,0.0054524923,0.01690509,0.107342675,0.005843007
X1001000187.E3,0.6731024,0.10633035,0.008680028,0.41122586,0.0017602657,0.0030319877,0.21901233,0.0024246427,0.0054524923,0.0352116,0.107342675,0.005843007
X1001000187.F4,0.4311176,0.10633035,0.008680029,0.3239042,0.0017602668,0.0030319896,0.12800622,0.0024246532,0.005452494,0.011483408,0.107342675,0.005843007
X1001000187.F9,0.6017047,0.10633035,0.008680028,0.39937758,0.0017602657,0.0030319877,0.18933846,0.0024246427,0.0054524923,0.015178834,0.107342675,0.005843007
X1001000018.D10,0.43626514,0.10633035,0.008680051,0.27245498,0.0017602877,0.003032024,0.111113995,0.002424846,0.005452532,0.014499525,0.107342675,0.005843007
X1001000018.F11,0.027254045,0.10635282,0.008726176,0.016619377,0.0019436156,0.0031402074,0.0068836496,0.003453945,0.0055785542,0.008773858,0.10734453,0.005843007
X1001000028.D10,0.02562286,0.10653005,0.008905792,0.016057855,0.0028348472,0.004151121,0.0016908024,0.0069204755,0.0067558205,0.008725684,0.107365996,0.005843005
