,Sender,Metabolite,Metabolite_Name,Receiver,Sensor,Commu_Score,metabolite_prop_in_sender,sensor_prop_in_receiver,ztest_stat,ztest_pval,ttest_stat,ttest_pval,ranksum_test_stat,ranksum_test_pval,permutation_test_stat,permutation_test_pval,ztest_fdr,ttest_fdr,ranksum_test_fdr,permutation_test_fdr
24,Myeloid,HMDB0006247,25-Hydroxycholesterol,Myeloid,ABCA1,2.738006414156803,0.34759068760151596,0.5240931239848403,-1117.7638469777348,0.0,-35.32913627221481,2.3512910421082192e-178,-1.7303213505149568,0.04178643850770659,0,0.0,0.0,3.493563399984019e-176,0.23157896384097248,0.0
2,Neoplastic,HMDB0001264,Dehydroascorbic acid,OPC,SLC2A1,0.6434166109656753,0.29880843263061413,0.2857142857142857,-345.62098700983273,0.0,-10.924034608583105,1.272746165948603e-26,-1.7303213505149568,0.04178643850770659,0,0.0,0.0,3.057245809835341e-25,0.23157896384097248,0.0
4,Neoplastic,HMDB0001264,Dehydroascorbic acid,Neuron,SLC2A1,0.4475715031902295,0.29880843263061413,0.2857142857142857,-84.19219216048238,0.0,-2.6610606864201305,0.003957213383569751,-1.7303213505149568,0.04178643850770659,0,0.0,0.0,0.025368023444289872,0.23157896384097248,0.0
14,OPC,HMDB0001264,Dehydroascorbic acid,Neoplastic,SLC2A1,0.30813027760605993,0.270935960591133,0.31164069660861593,-255.96220864819458,0.0,-8.090191657495321,8.587790123738043e-16,-1.7303213505149568,0.04178643850770659,0,0.0,0.0,1.5011522318761833e-14,0.23157896384097248,0.0
19,OPC,HMDB0001264,Dehydroascorbic acid,Vascular,SLC2A1,0.28543679639435426,0.270935960591133,0.29411764705882354,-109.94285817009194,0.0,-3.47496139631839,0.00026643709473539483,-1.7303213505149568,0.04178643850770659,0,0.0,0.0,0.002097793604019194,0.23157896384097248,0.0
20,OPC,HMDB0001264,Dehydroascorbic acid,Astrocyte,SLC2A1,0.2853013730289326,0.270935960591133,0.32954545454545453,-137.0823872870604,0.0,-4.332759870593269,8.10635864589128e-06,-1.7303213505149568,0.04178643850770659,0,0.0,0.0,7.718426444025889e-05,0.23157896384097248,0.0
0,Neoplastic,HMDB0001264,Dehydroascorbic acid,Neoplastic,SLC2A1,0.7755793216131387,0.29880843263061413,0.31164069660861593,-550.6817337669082,0.0,-17.405384927660982,9.114802972831945e-60,-1.7303213505149568,0.04178643850770659,0,0.0,0.0,4.305926409524507e-58,0.23157896384097248,0.0
25,Myeloid,HMDB0000112,gamma-Aminobutyric acid,Neuron,SLC6A1,12.448876890880097,0.7466161342717921,0.8571428571428571,-1285.5694964576685,0.0,-40.63296558620959,3.732927159905062e-214,-1.7303213505149568,0.04178643850770659,0,0.0,0.0,6.488249999442534e-212,0.23157896384097248,0.0
44,Astrocyte,HMDB0000112,gamma-Aminobutyric acid,OPC,SLC6A1,12.104555146630092,0.7613636363636364,0.7315270935960592,-1097.2187410406345,0.0,-34.67976758012349,6.435490340594627e-174,-1.7303213505149568,0.04178643850770659,0,0.0,0.0,9.336021577568143e-172,0.23157896384097248,0.0
41,Vascular,HMDB0000112,gamma-Aminobutyric acid,Astrocyte,SLC6A1,11.611965954829389,0.7058823529411765,0.7954545454545454,-748.4693331610324,0.0,-23.656853044869134,6.732215937943235e-99,-1.7303213505149568,0.04178643850770659,0,0.0,0.0,5.083374854125663e-97,0.23157896384097248,0.0
22,Myeloid,HMDB0000112,gamma-Aminobutyric acid,Oligo,SLC6A1,3.2162632224017775,0.7466161342717921,0.3176470588235294,-568.9772677391862,0.0,-17.983651450260737,3.679544996841197e-63,-1.7303213505149568,0.04178643850770659,0,0.0,0.0,1.8883547916936552e-61,0.23157896384097248,0.0
36,Vascular,HMDB0000112,gamma-Aminobutyric acid,Oligo,SLC6A1,3.6192637131709837,0.7058823529411765,0.3176470588235294,-207.46547521685292,0.0,-6.557356516346519,4.3845928064253934e-11,-1.7303213505149568,0.04178643850770659,0,0.0,0.0,6.042014799220752e-10,0.23157896384097248,0.0
43,Astrocyte,HMDB0000112,gamma-Aminobutyric acid,Oligo,SLC6A1,4.548007688777824,0.7613636363636364,0.3176470588235294,-348.79167012886194,0.0,-11.024250317197296,4.7317543298965236e-27,-1.7303213505149568,0.04178643850770659,0,0.0,0.0,1.1501034534830283e-25,0.23157896384097248,0.0
26,Myeloid,HMDB0000112,gamma-Aminobutyric acid,Vascular,SLC6A1,4.731725081977922,0.7466161342717921,0.39215686274509803,-712.8735153343019,0.0,-22.53177684731473,1.576540333850539e-91,-1.7303213505149568,0.04178643850770659,0,0.0,0.0,1.0878718768113231e-89,0.23157896384097248,0.0
40,Vascular,HMDB0000112,gamma-Aminobutyric acid,Vascular,SLC6A1,5.324614220199038,0.7058823529411765,0.39215686274509803,-329.74241825524854,0.0,-10.42216105017877,1.624926984963425e-24,-1.7303213505149568,0.04178643850770659,0,0.0,0.0,3.709746563936325e-23,0.23157896384097248,0.0
29,Neuron,HMDB0000112,gamma-Aminobutyric acid,Oligo,SLC6A1,5.634418337854797,0.8095238095238095,0.3176470588235294,-229.06863936695387,0.0,-7.240167230106474,4.466610396877468e-13,-1.7303213505149568,0.04178643850770659,0,0.0,0.0,6.903760902019334e-12,0.23157896384097248,0.0
47,Astrocyte,HMDB0000112,gamma-Aminobutyric acid,Vascular,SLC6A1,6.69097041067063,0.7613636363636364,0.39215686274509803,-512.8055953293639,0.0,-16.208234688866458,6.227791437589962e-53,-1.7303213505149568,0.04178643850770659,0,0.0,0.0,2.6560377186610522e-51,0.23157896384097248,0.0
33,Neuron,HMDB0000112,gamma-Aminobutyric acid,Vascular,SLC6A1,8.2892837830838,0.8095238095238095,0.39215686274509803,-349.2530558683507,0.0,-11.038833325682074,4.0948678017075566e-27,-1.7303213505149568,0.04178643850770659,0,0.0,0.0,9.992562169358944e-26,0.23157896384097248,0.0
