"","ser1","ser2","ser3","r5p1","r5p2","r5p3","r5p4","r5p5","IMP1","IMP2","IMP3","IMP4","IMP5","GMP1","GMP2","GMP3","GMP4","GMP5","INO1","INO2","INO3","INO4","INO5","GUO1","GUO2","GUO3","GUO4","GUO5","GDP1","GDP2","GDP3","GDP4","GDP5","AMP1","AMP2","AMP3","AMP4","AMP5"
"P2_1",8.55100117948732,3.08476451110238,1.77038174087674,5.14769437314157,6.2582751845876,4.62967686776629,0.504485835753287,1.72187680878421,7.45516817011565,6.70398415445228,4.62034340161291,0.69267379434941,1.62859909667801,6.54820732604885,6.46278112620911,4.5529085567055,0.615361824927954,1.63065240305022,4.22034087643416,4.57425528223424,3.34828574278998,0.396283704220808,1.2082905573987,5.45540573566964,6.13014217195087,4.45131895147227,0.517552216417645,1.63100375672381,6.35401896309383,6.25633322103263,4.41312070915323,0.590276455813324,1.58355292587092,5.0920439006083,4.64542805517006,3.2163079538644,0.448836804069269,1.1352112298145
"P2_2",8.95297958299759,4.23483346382712,2.47075480389532,4.41464005343111,5.97612292749083,3.22539741821027,0.680028838938009,1.73022762748465,7.54068661409538,6.6432526972821,3.36300330539716,0.875168467055768,1.5486356474468,6.36661504779657,6.16906202135549,3.1560499784248,0.780605788935692,1.49867110092398,3.7662554679791,4.48285634035729,2.43722523704821,0.527620702657541,1.2767234836646,5.15842426320131,5.77709057359787,3.05910292108921,0.684453251932432,1.52135384400907,6.15875680095111,5.93111547269931,3.05367636453443,0.751784183746361,1.44372044050072,3.89178447344172,3.51151930693221,1.67854430399096,0.429645250464956,0.779307240938348
"P2_3",8.30944835264575,2.5696805537182,1.52480011142258,4.91927890417659,5.93505622057521,3.93860720563575,0.641281956950865,1.83936583453114,7.00840043695686,6.24188814210423,3.99580791512238,0.761946888741791,1.72641831992958,6.14352816409095,5.97998095093133,3.89154446034222,0.695616641174878,1.71493317048648,4.04644995007297,4.29904704309833,2.84163834352342,0.467809481292151,1.26756904606906,5.30291352390506,5.69470935761122,3.794501074645,0.627379254400692,1.69678072686736,5.93687774577033,5.75398476937077,3.77401770452134,0.670440946281266,1.65772335006888,4.51703207034333,4.09839554332103,2.70775396953133,0.482641691956615,1.16571643132566
"P2_4",8.57797733224892,4.44893793308438,2.30011215999005,4.33148190583353,6.03634644331117,3.48710251459236,0.803533865993305,2.03951096516394,7.11365098005716,6.59591577291259,3.57827858892067,0.960723322985401,1.85404038656601,5.8327112458819,5.93369550331635,3.19300998508168,0.827670576151692,1.69001298355333,3.81283931248167,4.59675273421633,2.65847511472112,0.629039049468053,1.50257231683925,4.92318293363915,5.77891358670137,3.31925927513122,0.792981748433713,1.83713399143385,5.58258051626101,5.64555526884961,3.04317674170716,0.787009903690868,1.60381829491864,3.76940127393276,3.59377998588422,1.91200644494566,0.508505981871396,1.02995354064259
"P2_5",9.6599352821301,3.06515885451851,2.50476969008717,4.63583981101934,5.30503273608259,3.83805827186488,0.728801834846453,2.01464982720972,7.22002509212565,5.69342167666709,3.76712514528754,0.910777884058524,1.77222815960011,6.3680077413446,5.36951685763125,3.61097339329323,0.833389180119644,1.73367015853051,3.6237533525788,3.60767242518802,2.63943526265546,0.536269420937968,1.37557972782114,5.35277022760447,5.14829603007747,3.6298766969942,0.740774268569581,1.80820246400342,6.273820933792,5.27290644588724,3.55734234360317,0.819630343187724,1.70813363757325,3.44656549577271,2.74214753827597,1.78770416641881,0.432045118402067,0.845868630114563
"P2_6",10.4549892593631,4.0313085039713,2.28075620199625,4.59702645860518,5.89341718555931,3.97784807919489,0.781254274587851,1.9249567026179,7.86379730395318,6.51507929941548,3.98986175129995,1.01053027332198,1.70405074816233,6.74469331842908,6.13578167898102,3.82997482531986,0.915705629195938,1.67582557059508,3.95362307883498,4.29128810034601,2.9477184076284,0.59913134229855,1.3968361499463,5.4167764845978,5.74439778502346,3.74690990226124,0.801489233320131,1.71346278912592,6.59095409461024,5.98387942488882,3.74316735428901,0.894635435315058,1.6423057399422,4.02905324473333,3.42007064861395,2.05463146087319,0.49161134094903,0.829319305566571
"P2_7",7.94760721367353,3.54507287934299,1.8593653666547,4.50142205978364,5.54518096276844,3.91912729737187,0.559898374619945,1.64922527451082,6.7005970275846,5.84930797439004,3.83173867097823,0.702333327656848,1.49849093775842,5.64181038766189,5.44579462658993,3.61083049271947,0.599422596457059,1.41342417601301,3.42937306753299,3.75888595028621,2.6312488184618,0.420421975332733,1.0765894801554,4.91585388330762,5.40926027041661,3.79491993154403,0.566922329817193,1.55372625775694,5.49149382891174,5.26374697170999,3.49182206243368,0.569900488586078,1.35633117290218,3.63208580297375,3.22740182514963,2.11595673721296,0.370496768393949,0.82952310780082
"P2_8",9.23038874923246,3.37739464096856,1.76988840153636,5.11110151789105,6.31359145389882,3.82304390212925,0.602144801348567,1.68441094479216,7.51807207795237,6.75030846980677,3.91822284993314,0.756821783254162,1.55633836459833,6.47157153638987,6.38362051231634,3.76048955614097,0.671987318707216,1.52718070772241,4.14016105735539,4.56963415311913,2.7937050162101,0.44558419130746,1.19486748514468,5.56669728014585,6.06961566066403,3.66192287187902,0.59479574671063,1.52131267185596,6.25445770433964,6.15060434892583,3.64324890697349,0.647395208820975,1.47443143833993,4.63228968368838,4.27814648465363,2.51109120882996,0.437367559522645,0.960408030730018
"P2_9",8.12301411023137,3.65895397350245,1.41240179760127,5.07473765477891,5.97116725228694,4.64318873986176,0.566307925739265,1.71128369620656,6.98821205498692,6.41254486040603,4.63854423213479,0.72672701467124,1.62848212333898,6.00693901326723,6.00816122275209,4.40856857585017,0.613377592127326,1.53053406505594,4.0124657180743,4.38832835725991,3.41205273173088,0.44165610184129,1.25712265719776,5.28785913075823,5.89048572814104,4.51901570332335,0.573331146487128,1.64376328045492,5.83762730181666,5.81482614938246,4.26595054822551,0.585470510857833,1.47396933538234,4.55112448304367,4.23213993556622,3.06697530031509,0.429388520235882,1.03722286907786
"P2_10",9.99119526542492,4.67916794063103,2.30698630472686,4.36741392117568,4.97454023113293,3.54271408463787,0.693432853947492,1.61999243861035,6.99722327678708,5.62569283965041,3.55970617056413,0.876199969061356,1.42994920028463,6.29445477827416,5.27904525629656,3.4088842733665,0.808892359253754,1.39208608625425,3.88686824770106,3.88958277885654,2.79900075298184,0.547054301657997,1.23495215775617,5.09948336089537,4.85810378437219,3.31376657226668,0.708681617908336,1.4246872674334,6.10607550416351,5.09664586863714,3.3012666646436,0.78726407046261,1.3572905893348,3.84395896188994,3.06927675576023,1.90898693954576,0.436240169565715,0.688806521913514
