,ser1,ser2,ser3,r5p1,r5p2,r5p3,r5p4,r5p5,IMP1,IMP2,IMP3,IMP4,IMP5,GMP1,GMP2,GMP3,GMP4,GMP5,INO1,INO2,INO3,INO4,INO5,GUO1,GUO2,GUO3,GUO4,GUO5,GDP1,GDP2,GDP3,GDP4,GDP5,AMP1,AMP2,AMP3,AMP4,AMP5
P4_1,12.82325746,5.510698754,5.248298145,2.117821147,5.058429629,3.627440713,2.587727368,5.145345715,3.482623129,5.033887442,3.485707156,2.426575349,4.718890603,2.828682326,4.863240871,3.441331603,2.408879252,4.743974055,2.03678809,3.789024804,2.691519709,1.9444157,3.769567294,2.086408432,4.797319208,3.440439628,2.467281817,4.927492404,2.320152821,3.902525645,2.641114203,1.986670256,3.842175843,2.667493368,3.843320359,2.728080008,1.862954977,3.682205363
P4_2,9.697754286,4.686451289,4.667848812,2.690037993,4.896301782,3.961194411,2.454414342,6.932286721,3.363115519,3.877946215,2.863806681,1.902192811,4.708119336,2.850790136,4.461076163,3.534892139,2.210851238,6.083307525,0.999154247,1.536520646,1.080662785,0.986764038,2.195945573,2.713750419,4.675312311,3.775230149,2.320905819,6.530359484,1.239868636,1.964974315,1.603950395,1.055536206,2.767883077,1.68005608,1.985922375,1.543074036,1.017679998,2.532422726
P4_3,11.18870478,4.630088413,6.481774816,2.633705832,5.368046038,4.983916953,2.35021206,5.614344623,3.069672688,4.837391914,4.503695668,1.898699008,4.39370805,2.589752474,4.56783019,4.220323196,1.945518122,4.507201065,2.162212917,4.08834017,3.68491603,1.778477629,4.179669384,2.619467608,5.208493522,4.847172483,2.255487385,5.38338887,1.743843242,3.0265248,2.599923965,1.383854882,3.124343899,2.260492555,3.568162472,3.40652783,1.348881978,3.087032938
P4_4,13.22519262,3.896690695,6.117641604,2.458184779,4.913921156,3.578544503,2.544853621,4.700516904,3.170519165,4.344039936,3.20355399,2.139934629,3.929431766,2.577455696,4.32210734,3.217772316,2.248655344,4.134473223,2.095672388,3.655676328,2.660637253,1.893229538,3.434097691,2.430149917,4.48842366,3.335133197,2.330331558,4.330794689,1.936621653,3.219727007,2.477122155,1.672628124,2.983329564,1.992521705,2.68255299,2.182230962,1.325120546,2.398630092
P4_5,12.43848938,6.479549946,7.561624331,2.730684555,4.67519595,3.699101327,2.298504367,4.489792558,3.156096241,4.500719666,3.459712124,2.115333327,4.059393048,2.731572052,4.167967515,3.309766236,2.053171801,3.86273836,2.622188034,4.256934269,3.360414394,2.050425895,3.999226583,2.596299799,4.385256243,3.46845215,2.157374196,4.197479496,2.375477554,3.608401198,2.870888704,1.780762211,3.331849889,2.445257985,3.465508824,2.673280104,1.638637996,3.106817619
P4_6,12.99494737,3.122108439,4.82367567,2.301735455,4.491911067,2.263581941,2.695692683,6.102872718,3.041916067,3.473813461,1.80580981,1.971755297,4.190955691,2.442747174,4.105529589,2.076336413,2.42216035,5.430529439,1.646643811,2.869002635,1.193499931,1.80225427,3.810742685,2.338277475,4.265542915,2.156918825,2.525543923,5.712883859,1.343709638,2.339761574,1.083672423,1.389200296,3.045911232,1.412759674,1.663580836,0.973105656,0.972987309,2.063005522
P4_7,12.8227685,3.643111557,5.449454099,2.592824927,4.338334914,3.691839704,2.546559712,5.483755778,3.448945322,4.32779565,3.544163814,2.3765749,5.045350017,2.909513079,4.169886038,3.472456568,2.380599965,5.078409412,1.767704961,2.435395027,1.977930844,1.438294785,2.707110532,2.695742638,4.270708073,3.606743489,2.470060162,5.316974732,1.890902578,2.644847373,2.231393188,1.53326365,3.078424812,2.440722782,3.142692608,2.583786842,1.683993509,3.566443536
P4_8,11.05264278,2.925779714,4.062621416,2.246128307,5.094697412,2.81088175,2.354491662,5.905527371,2.978037075,4.347255997,2.473587893,1.919196828,4.599574629,2.39288057,4.829546792,2.669542459,2.190385007,5.480588531,1.781875222,3.42195709,1.789238139,1.56937139,3.811169135,2.162254397,4.78097002,2.595146787,2.218445513,5.512868529,2.013742232,4.274315641,2.324079881,1.887234786,4.775897381,1.707427389,2.799940165,1.697748672,1.245223134,2.988325745
P4_9,11.03428272,4.768122209,9.317442678,2.408660317,5.346693951,4.908891661,1.839398131,4.876434787,3.312985304,5.504088671,4.88104426,1.8748502,4.664571827,2.571598473,4.681255844,4.463798529,1.656297925,4.247367613,1.978835409,3.801165159,3.255251951,1.268005959,3.279518216,2.382922829,5.043173263,4.59991061,1.762764646,4.591186048,1.518849203,2.681510654,2.44404135,0.964000892,2.410537841,2.719871123,4.531052104,4.122546233,1.566503576,3.821103494
P4_10,11.24249786,4.161556143,5.432741178,2.036776729,5.345327197,4.415981128,2.484957365,4.965906899,2.764096943,4.745567762,3.86652146,2.118638458,4.248667371,2.140848826,4.850497585,4.060563347,2.226296875,4.543187785,1.65787109,3.638074356,2.863568724,1.740793986,3.264546686,2.029823127,4.930675204,4.142369419,2.293690663,4.662398547,1.653746106,3.838753424,3.015266214,1.762159877,3.522373829,2.004638552,3.340740653,2.794140742,1.49218103,3.047249714
P4_11,12.62908915,3.55287118,6.802155617,1.777495093,4.765969381,3.421875114,2.020651489,3.845749555,2.528132176,4.371362111,3.098332756,1.769022124,3.353892749,1.904257412,3.994851975,2.923896224,1.738315415,3.189938116,1.655056009,4.101582053,2.942438981,1.709784937,3.295150338,1.779567415,4.344886951,3.154107079,1.833224719,3.533816781,1.688860336,3.54223576,2.585752781,1.548203306,2.791759973,1.710542784,2.943941223,2.100025545,1.2175503,2.261859514
P4_12,11.9623145,3.413167438,4.916703529,1.901952439,5.061154914,3.504863482,2.422216608,4.749754113,2.769544904,4.391089993,2.97290155,1.963076137,4.080738031,2.139567518,4.707969929,3.251594267,2.210185872,4.416259817,1.702115368,3.512774953,2.448231954,1.660939734,3.208665032,1.970646262,4.777337651,3.328599869,2.280288299,4.524846368,1.790655245,4.06504074,2.781914699,1.853212568,3.785598522,1.998892046,3.144321811,2.181687422,1.418792012,2.960974007
P4_13,12.6672718,5.204867112,4.952109371,1.754405624,4.805487749,4.376721225,2.418564571,4.935172465,2.638533438,3.500644908,2.821061527,1.904727385,3.55929701,2.056711042,3.90119277,3.393790862,2.123853319,4.083990736,1.35265589,2.766661932,2.394922794,1.667244909,3.04757015,1.777614337,4.043026942,3.626876438,2.232645002,4.295653482,1.32782334,2.554089749,2.226013175,1.449691317,2.657999733,1.804803114,2.425916501,1.956958574,1.356065033,2.524282385
P4_14,13.76035774,2.98371528,4.72762474,2.308895935,4.24493482,2.137189059,2.777023641,6.253354483,2.93056409,3.73108522,1.904711168,2.237192922,4.962517126,2.484805371,3.914770822,1.971101137,2.492396114,5.568503893,1.835251132,2.712047725,1.285623243,1.730147398,3.794041662,2.415138489,4.083736871,2.070526398,2.630992366,5.903483779,1.603723404,2.550306793,1.246721697,1.654790055,3.632394719,1.72326945,2.16280974,1.221425784,1.245419973,2.838975504
P4_15,11.34845311,3.48156998,4.834339836,1.486340575,4.762126786,2.385749448,2.292407059,5.63197674,2.730537413,4.837294057,2.355508752,2.197688243,5.185006758,1.966079499,4.2955174,2.182471457,2.039235356,4.858579484,1.269195206,2.757112173,1.366836883,1.264247649,3.078027763,1.582470736,4.647329578,2.330625413,2.21893103,5.433122852,1.410566562,3.08492899,1.435026765,1.521541999,3.490454406,1.840450042,3.2363636,1.641935892,1.424627339,3.42875605
P4_16,11.66254183,4.261352286,3.465018282,1.969923375,6.550544633,4.802169267,2.32482444,3.533603496,2.466961081,3.326893439,2.567561523,1.309971055,2.147834908,1.654737747,4.825039581,3.384062468,1.750014168,2.633696707,1.399802124,4.120005206,2.622009426,1.532053755,2.100345842,1.605382734,4.213689389,3.460393014,1.577920937,2.727184902,1.261964658,3.906093757,2.417067588,1.439431435,1.990040398,1.442449233,1.997795336,1.707209672,0.834106077,1.436929734
P4_17,9.86931701,5.424678789,7.943503442,2.742794544,4.73585785,4.812338898,1.752956459,4.316468357,3.534616805,4.882816002,4.678334224,1.740729162,4.00335211,2.622120152,4.078394317,4.090654748,1.498782738,3.427125939,2.225062493,3.490379367,3.461514118,1.309773943,3.13570956,2.725252232,4.586807508,4.660982424,1.687337014,4.126151821,1.568424694,2.288124685,2.243062386,0.950224144,1.99642102,2.623301481,3.654218689,3.557796231,1.311206935,2.889356153
P4_18,12.26405164,3.150365342,4.644402102,2.155909455,5.050696756,3.130040614,2.465712069,6.565703508,2.877921799,4.477131748,2.924683759,2.077795107,5.407663824,2.338109479,4.83838121,3.029504475,2.315824057,6.164546602,1.583747396,3.228440504,1.768418851,1.591647812,4.144936305,2.243981085,4.932147794,3.049595133,2.384364426,6.347075509,1.507328109,3.500242247,1.961623926,1.637906938,4.510472473,1.669042471,2.866195275,2.043327957,1.307499434,3.507600844
P4_19,11.60056655,3.538963365,7.650918181,2.118752563,5.038043299,4.017303763,1.925477465,4.00007998,3.149390274,4.68435632,3.643978723,1.682597007,3.436229861,2.148389309,3.572602612,3.001433186,1.389921068,2.72907671,1.852801279,3.79255893,2.948772855,1.417578446,2.938665456,2.138758619,4.722232314,3.809749443,1.787029502,3.783785328,1.221978254,2.208977423,1.767739172,0.881009604,1.63676154,1.952715178,2.90982327,2.252113899,0.998696464,2.039083662
P4_20,12.16646994,3.378106922,4.376855787,2.698293705,4.808775238,3.727140855,2.639062454,7.078579815,3.467734844,4.571184718,3.443174973,2.410283017,6.215115666,2.961461176,4.557207827,3.479923757,2.458996091,6.494770265,1.050080933,1.3853875,0.878405587,0.888866786,2.039369258,2.799173409,4.724788568,3.658976158,2.561203249,6.85910204,1.346641998,2.008727007,1.524174907,1.131289727,2.927478554,2.246805784,3.07121299,2.397508247,1.604685506,4.208998778
P4_21,9.887754437,3.308429045,4.365692992,1.847218313,5.119476491,2.634733845,2.526115271,6.269178829,2.384348608,4.56198839,2.51118132,2.139363224,5.243377038,1.94987534,4.581657815,2.444567279,2.232355715,5.484570447,1.319217822,3.018920397,1.449126154,1.490233341,3.550706318,1.8620621,4.950111825,2.54958347,2.430999856,6.029258836,1.425533826,3.24909668,1.614153317,1.607606441,3.857930607,1.414551245,3.019638693,1.878631214,1.371348055,3.435575252
P4_22,10.9418874,4.307233088,4.352479263,0.941933421,4.67283399,3.373923969,2.422079965,4.544227161,2.064037463,3.817090351,2.574829948,1.7538432,3.494997612,1.239850681,4.143134701,2.930156342,2.108297227,3.93030314,0.90909135,3.135321784,2.279129443,1.646958893,3.099711542,0.957196753,4.404634377,3.189757724,2.272342456,4.323597384,0.943101747,3.232268766,2.233004679,1.62609149,3.082142057,1.254966324,2.37692654,1.584113569,1.106330263,2.22910241
P4_23,14.48238971,3.238736157,5.750923649,2.42687109,5.484036324,4.352920328,2.501557762,4.768696774,4.097854912,5.013562672,3.920816245,2.175803543,4.067504386,3.232582068,4.871602711,3.838690277,2.179411466,4.108367622,2.228913744,3.695057901,2.856001427,1.648703864,3.005655025,2.546225839,4.983552957,4.026367613,2.275383974,4.410655313,1.998328849,3.198694732,2.44904348,1.429217094,2.601858533,2.454520482,2.95389881,2.394775596,1.307995598,2.534888538
P4_24,13.58545877,3.75204424,6.431044486,2.829799295,5.065758968,4.073994338,2.571975039,5.004535608,3.458847686,4.5188466,3.676936985,2.253197075,4.225225982,2.99828034,4.687617739,3.837841539,2.367624156,4.61492685,2.290816071,3.649720727,2.893382526,1.862112636,3.47522655,2.665711934,4.466906695,3.667700451,2.315155962,4.422974712,2.266198831,3.51857577,2.901474751,1.777998719,3.339172877,2.427254543,3.273158573,2.848015941,1.608255441,3.054442821
P4_25,11.17693684,4.924926652,8.795692994,1.321769677,3.412915626,2.446372771,1.343071539,3.645276453,2.034375386,3.276761164,2.196239235,1.149782537,3.05382781,1.100733849,2.304986757,1.614272404,0.91675188,2.196325072,1.294670045,2.917728398,2.068805714,1.08126696,2.975117731,1.219068139,3.118221093,2.220765802,1.26323782,3.378509954,0.735282351,1.548575218,1.060688179,0.637134022,1.427512301,1.085791017,1.747929076,1.12344009,0.632942683,1.535667037
P4_26,11.79827518,2.779684697,3.978356667,1.928741139,4.836147727,3.191739582,2.376144291,6.742196962,2.892113759,4.594267436,2.962855443,2.163633191,5.987250573,2.269310258,4.714421835,3.087177759,2.267441331,6.391193597,1.660929513,3.104976171,2.041817469,1.510611702,4.182927186,2.087721122,4.7488407,3.124414067,2.312007094,6.531826429,1.68464589,3.846703776,2.51340885,1.791049084,5.245939157,1.928664864,3.039575694,1.982646918,1.429174162,3.926272922
