"","ser1","ser2","ser3","r5p1","r5p2","r5p3","r5p4","r5p5","IMP1","IMP2","IMP3","IMP4","IMP5","GMP1","GMP2","GMP3","GMP4","GMP5","INO1","INO2","INO3","INO4","INO5","GUO1","GUO2","GUO3","GUO4","GUO5","GDP1","GDP2","GDP3","GDP4","GDP5","AMP1","AMP2","AMP3","AMP4","AMP5"
"P14_1",11.0263698171102,5.96618183490906,9.47750935004185,2.28182394617117,2.56965082302098,2.1268202849535,0.824212913464175,5.02827023251654,3.61573102992329,3.03468822024264,2.17204982488486,0.816957155606674,4.19490364545806,3.05260749320657,2.83968691410389,2.13111474789676,0.812354725036248,4.61303212020846,2.13209991186928,2.23483857540257,1.8332459495219,0.659026221682649,4.17717124186936,2.47070019528166,2.63030883325523,2.12074378711978,0.817553026953488,4.89834941183287,3.00237330666793,2.79027124276824,2.09731469369776,0.796422055686586,4.55371580271054,2.28584036641729,1.94006290309812,1.35215890236727,0.535640656809543,2.7419489206449
"P14_2",11.450000159975,5.98993917760047,9.44755840960961,2.10431891400903,2.47624838341515,2.13392183957858,0.897255099763402,4.86324663232869,3.29092128120682,2.82658630160977,2.14345030196985,0.869302366176392,4.06812429339762,2.73389425940879,2.63599810737766,2.07165151920481,0.848482063300587,4.43415268235597,1.9224958581484,2.12789126731644,1.84994765999692,0.719065232899462,4.07671201265071,2.24348635085099,2.50560168050051,2.12149762391504,0.885356912691947,4.74886916562976,2.68934326037082,2.5909363047378,2.03424592896223,0.828473562843694,4.37048578646924,2.10458496580691,1.8038661148927,1.31300969931988,0.555965831586301,2.63200239257601
"P14_3",10.688554542503,5.04208027261637,9.17019189859115,1.66245632759458,2.07001776329419,1.89951430076405,0.807842174092228,4.14945488244267,2.73087871175863,2.36310834711913,1.88618291432149,0.77518150863563,3.45478099691837,2.23729174394601,2.19266662466874,1.8025921272093,0.745506542125393,3.77033397283797,1.59635054747733,1.85578935428664,1.70683364313791,0.687768220779807,3.60218280513578,1.82565907088938,2.06345170018896,1.83986199436073,0.764475317467421,3.99294643907884,2.2096824833854,2.16308384633976,1.77261313010723,0.730256535730484,3.72614470632752,1.6866976728139,1.43974517961548,1.08154914700862,0.454125405627979,2.14991663755187
"P14_4",11.388828887638,5.37770163292046,8.87687043651528,1.93446451925074,2.62895689449763,2.20103995418645,0.882692632779174,4.69269160647473,3.23099704484922,2.98749237385525,2.22442746382138,0.880944130947508,3.9434594343129,2.71037163882365,2.8260086770334,2.19228452024695,0.873200979601733,4.36220773272315,1.90849511444177,2.34994789756354,1.95899144530401,0.746270221474689,4.06571632952901,2.11767945193743,2.64768965415754,2.16923584517359,0.85940416273921,4.56342297990247,2.64290962348305,2.72500771176867,2.11659009811435,0.837148798280042,4.26993689544964,2.13022153526919,2.02720869923055,1.48040989427984,0.61339779726733,2.66588468216978
"P14_5",11.1548388004014,5.56702683961607,9.36133427187344,1.66444415570194,2.15189584180706,1.80037342842753,0.766984359026117,4.18429749401195,2.70156296603703,2.42298381039372,1.79895067913489,0.738637381966661,3.44448250017206,2.19808309547856,2.18766731580594,1.69954316827915,0.695138218878508,3.80112574082914,1.60220876518767,1.93946724462762,1.62742072161778,0.658438130729307,3.66104180544632,1.83397977786191,2.12091373378656,1.75108465245751,0.725517933030328,4.02950080657825,2.16700467253499,2.14928056584509,1.66984263078479,0.679331393732167,3.75925256444421,1.62263400547038,1.40141689641814,0.992509420600931,0.415164529418672,2.09633348360351
"P14_6",10.0532422177452,6.41905913090075,10.4784171610412,2.56476059909012,2.90486603626947,1.64119109772956,0.75330971260423,4.51237872552735,3.95180297668961,3.51961708381075,1.85305369397945,0.794438486358205,3.80742352154501,3.22545477576297,3.0361684095164,1.65596411210196,0.718121428003691,4.01973979016351,2.40323274415287,2.32543379249582,1.37432143903573,0.56083562013167,3.4911787592697,2.84171666527672,2.999065548641,1.67607727711178,0.748421108160353,4.34391593187999,3.02686590667397,2.77859990068062,1.54840361962711,0.660804368161847,3.84881854703842,2.70992471224144,2.5037508462711,1.23477341974653,0.564767538749655,2.6036599364964
"P14_7",12.4984328071394,5.7686134678983,9.71225807244353,2.03146664206216,2.83714161481707,1.72865844384969,0.798274597272693,4.8408920693116,3.10340348683667,3.14097312786028,1.78039684016142,0.771351377274553,4.09705098865122,2.6404403963545,3.01015494122892,1.74395089589071,0.773921443941144,4.49843523051892,1.79453305608487,2.22757385500923,1.42719593219359,0.595708430268129,3.78747923510649,2.226759018371,2.8935314525738,1.74212979001892,0.789800314124791,4.72955528104807,2.59788738045999,2.96698809550842,1.71702746809617,0.758347307738174,4.44426117653386,2.08984726933819,2.20935675545094,1.17563646526502,0.52730613141829,2.87730998539737
"P14_8",11.7582854126509,5.89454473714282,9.88810931891454,2.06180609895392,2.51014453193358,1.91681928020501,0.733833136450296,4.77001612748221,3.13009195983636,2.89891155359319,1.97263914748082,0.736496693065224,4.04053302535522,2.7080354657488,2.73964515599434,1.87056727499473,0.703644813111112,4.37963753480347,1.93489266675488,2.14214522494911,1.65786725080059,0.605071483122969,3.9400600155936,2.22590446107436,2.56992835603628,1.91371110213132,0.73064184448604,4.66197273964542,2.66677184297243,2.69667207619643,1.83148981922233,0.686714077985863,4.32379048576048,2.01910241716408,1.94555424824601,1.20658149329622,0.465304138546499,2.71496568966022
"P14_9",12.5420154968081,5.30226421854512,9.61276464477347,1.69774129357218,2.57722364983089,1.63972514671602,0.882880103676962,4.34049165587739,2.39316611310508,2.69660812133723,1.61995538648062,0.815994584871073,3.69784665620499,2.07865447314848,2.607832944414,1.53488758610337,0.798116507952275,3.95867264279773,1.35316113071478,1.93462574826987,1.28280024758302,0.670094576505412,3.32032277172853,1.79936930955265,2.56125602776377,1.59711322150406,0.847203079740111,4.20607637485085,2.03301695683551,2.55975018604136,1.49300101517221,0.775079468175768,3.88945418216014,1.64926755201194,1.93162610408804,1.0372265114937,0.523261253074113,2.6045516513853
"P14_10",11.1153193272981,5.57405448165076,9.4286900603808,1.82562727058929,2.17544368981472,1.9381860737483,0.820715716584352,4.42541459744623,2.86531368328506,2.46909425350099,1.93815896043215,0.793695005362173,3.68847534901056,2.38646226631276,2.30333166299891,1.84397943624693,0.760902241747101,4.03384532143473,1.71723836036798,1.92224814851704,1.7231564406274,0.686570958348081,3.80245621514506,1.96721252428911,2.18574701106862,1.90329099820154,0.794424271455647,4.29776112818029,2.35529612848019,2.27031556939627,1.81032119936438,0.743800843990048,3.98364667491864,1.81381790577486,1.54788297589805,1.13832820050099,0.481757704065821,2.35245474999905
"P14_11",10.7488589281443,5.80214776723271,9.50582537482751,2.1735219195581,2.38210388396047,2.15749727940422,0.797765097583172,4.72957681765826,3.58607464412063,2.91056870544584,2.2267805569742,0.80739311946311,3.95523804740558,3.01046143152733,2.68166912466846,2.13009904951084,0.774741589394421,4.28826893856972,2.11709775607608,2.16249996943617,1.91605232714728,0.671486107565206,4.02143496504149,2.41567130319162,2.45613765314204,2.15086382744812,0.788050403273957,4.58806561644842,2.95533468093167,2.62749695492047,2.08799936567732,0.756970307546048,4.22882962571876,2.12791933119423,1.73170898983395,1.29414468626209,0.488056910265105,2.46276357640933
"P14_12",10.59280333511,6.60591878958218,10.1799278035033,2.25387949407968,2.46050944081602,1.74961819476472,0.822857554019496,4.72481056174027,3.68668602132704,3.09289465442877,1.92157098537238,0.837528984026042,3.96302899180625,3.09852939223174,2.71738100883683,1.74486413270457,0.767085512152166,4.10986315499164,2.22326111483296,2.11561894749857,1.52132850396074,0.646394460945154,3.70774457954729,2.57135732675069,2.50962683944084,1.76934048383915,0.797934815059749,4.4413222850306,3.00809347362772,2.6207755484352,1.68538949342161,0.736725718330822,3.99783056657603,2.31985207625792,1.95480609357145,1.11639044444322,0.514481334411333,2.52520900658986
"P14_13",11.6658575753826,6.08340216481368,10.2709171161994,2.29002061793255,3.03679744330487,1.59486619214199,0.649710115302631,5.03091689024549,3.81814668775954,3.71149028666383,1.8364536442772,0.710644554932296,4.34495674916182,3.07340851507662,3.20018576438652,1.645510589461,0.624286091727605,4.40478035719408,2.37201762799049,2.5830331956535,1.41900904624511,0.526428253302079,3.90388383478641,2.55628037626708,2.99292234024727,1.59563250191051,0.612556193705137,4.67511479802534,2.97002567507139,3.0815934446068,1.59285462246142,0.597631661809076,4.27169259767246,2.49145939447139,2.55250428142632,1.16799048546328,0.47275974370283,3.00060395455371
"P14_14",10.6660460385128,6.01953230414615,10.0827855530172,1.9301198051008,3.03319807829364,1.43011715216597,0.713086932807128,4.73674634904912,3.28806312061153,3.62454143759041,1.6243743392143,0.736427302652204,4.16314535389667,2.52918482237477,2.93186810172501,1.41788404628601,0.62083865344064,3.94708036000354,1.98023287992048,2.53909537566094,1.25712016643085,0.556687486713957,3.6731889558351,2.11226535580305,2.64988483604001,1.32506222775435,0.590572283474283,3.93652575650796,2.45692447729179,2.83139431546653,1.38026300041458,0.594899784727967,3.83229546518857,2.19242679510801,2.5471205741128,1.05513970716723,0.499435405927462,2.91363523174869
"P14_15",11.4624160755143,6.03567093535384,9.49608643979158,2.08450061994641,2.43228486255353,2.06449011432755,0.881245333005269,4.82847413406671,3.20565011904558,2.75882089312539,2.07572608272578,0.852784856088234,4.03458675680021,2.68371408633644,2.58312768676288,2.00154567674275,0.832124871810504,4.41402297092534,1.89600742036811,2.08592297464536,1.78637092796501,0.706317029221602,4.04797710345605,2.21678966991325,2.46007447609881,2.05287170412474,0.869745187380545,4.7179012478467,2.64126661408621,2.54004506452353,1.96508766157857,0.812661031896677,4.35252126728282,2.07127013388199,1.77845956965269,1.27956679280705,0.548646039968465,2.63865117567185
"P14_16",11.3304397489339,4.88472648418503,9.17599060283095,1.75284951522751,2.44117306198501,1.76029440301241,0.741947070510672,4.35205184061039,2.75041186823086,2.69269942903165,1.7513681276922,0.709566056819548,3.6573779886152,2.29669538222139,2.56919160109598,1.72964721673805,0.710088870236722,4.04178738268105,1.60813626732288,2.04867464655658,1.52416036086348,0.60636741984504,3.62994942555893,1.9049462411773,2.43690380570281,1.71071560460961,0.704483201289805,4.20707873443734,2.27103930731437,2.54335679027325,1.71191957764011,0.700365621611388,4.00837503956525,1.77540759349507,1.80717766668121,1.09825980967629,0.454593594063467,2.47319006619172
