,ser1,ser2,ser3,r5p1,r5p2,r5p3,r5p4,r5p5,IMP1,IMP2,IMP3,IMP4,IMP5,GMP1,GMP2,GMP3,GMP4,GMP5,INO1,INO2,INO3,INO4,INO5,GUO1,GUO2,GUO3,GUO4,GUO5,GDP1,GDP2,GDP3,GDP4,GDP5,AMP1,AMP2,AMP3,AMP4,AMP5
P2_1,16.56163864,6.036763358,3.377743462,2.781253701,6.4772126,6.678036571,2.020550555,4.610477498,2.018421715,1.570679265,1.239404159,0.604786596,0.978864509,1.863145397,3.448513904,3.244135048,1.138124452,2.53622511,1.079409462,1.692447906,1.48297332,0.699315873,1.396984536,1.861462177,4.016376823,4.032517384,1.238999087,2.796853622,1.430078383,2.136088912,1.721809761,0.781274591,1.714933836,0.494854067,0.449962338,0.29781715,0.22600307,0.338657192
P2_2,16.77295779,5.898715984,3.97842477,2.822300015,6.245082695,7.140032657,2.279404704,4.569721892,2.387784251,1.620667215,1.596025859,0.639967878,0.915232633,1.857475162,3.101745801,3.212565066,1.114101264,2.247810432,1.137392824,1.947530375,2.173342876,0.866860676,1.555810762,1.895369589,3.575615441,4.002452518,1.219269973,2.54458995,1.393394513,2.027454055,1.937908724,0.784423474,1.568907802,0.332866775,0.222421447,0.210443841,0.080654297,0.121419828
P2_3,16.54800316,4.980412525,2.451564445,1.5938794,7.021796625,7.230855582,1.295801658,4.82305865,2.267158752,1.772788445,1.525864047,0.402707315,1.011201952,1.061356601,3.052445175,3.033605133,0.582572535,2.06871242,0.437251782,1.11719254,1.163915814,0.218707295,0.789306954,0.896297407,3.053116759,3.148628209,0.587800856,2.02535117,0.621629492,1.593247791,1.37261033,0.266133386,1.136377094,0.484864055,0.373134236,0.405629922,0.123502777,0.209715324
P2_4,16.0477498,5.42919048,1.613276529,1.688769738,7.141171152,6.932727684,1.500460675,5.060059267,2.223350808,1.584831569,1.230242504,0.387505682,0.889558549,1.260836381,3.366372602,3.155491615,0.776437469,2.419038381,0.467604334,1.005367815,0.821830112,0.289909205,0.815321831,0.864913512,3.34444922,3.404803938,0.763334148,2.245343019,0.821472764,1.852906154,1.477665691,0.439701108,1.464097879,0.321332232,0.211058994,0.203479349,0.079950523,0.107590604
P2_5,16.85259934,5.501355873,4.357925131,2.287415173,6.428036553,7.346508475,1.891114595,4.431573207,2.108489177,1.601502312,1.570744553,0.516427477,0.872020843,1.399638335,2.937425893,3.099603348,0.873873587,2.003366663,0.873451356,1.811461464,2.099544293,0.67288237,1.324285501,1.438465387,3.258368885,3.524799927,0.965007913,2.214883165,0.967355424,1.730160055,1.639306833,0.55855507,1.24079116,0.395500456,0.32253229,0.359334975,0.100057938,0.177917575
P2_6,16.6039288,5.606425799,3.220406555,2.462854349,6.567875843,7.508832683,1.90882282,4.358918952,2.462054345,1.769918556,1.606282534,0.593733709,0.942428019,1.542487711,2.94999279,3.248823709,0.854189329,1.8798653,0.704676903,1.222443977,1.560658505,0.497682243,0.889497179,1.6871235,3.696487248,4.240056683,1.060078296,2.38734689,1.04796182,1.600612443,1.671847539,0.495393691,1.044197364,0.356865227,0.24174626,0.22361715,0.087058839,0.11918473
P2_7,16.56351329,5.779409198,3.467221795,2.051073619,6.331639498,6.657961984,1.819914584,4.493309973,2.355061447,1.705360238,1.508012955,0.52220414,0.939098758,1.435608175,2.974937432,2.939416016,0.866813739,2.076861574,0.767116023,1.549781703,1.688617887,0.646612458,1.172693229,1.365745117,3.261479577,3.418755216,0.945021647,2.252283235,1.036487832,1.905024787,1.746591957,0.587944591,1.395476247,0.257317766,0.172446928,0.162805279,0.061725898,0.091826114
P2_8,15.69368579,5.817237562,3.643530405,2.46178996,6.775682521,7.255087239,2.238485141,4.226334683,2.089383447,1.699896812,1.409302104,0.629844602,0.891389506,1.609297924,3.658123487,3.657462469,1.274066923,2.282919867,0.871343731,1.590845088,1.66336859,0.654051065,1.075014043,1.40311857,4.016097104,4.157289435,1.354190479,2.375585339,1.175944272,2.145263869,1.903846591,0.832894971,1.38834121,0.541353963,0.503944964,0.469333427,0.181763792,0.280138556
P2_9,15.87097265,5.811425733,4.26032296,2.376259956,6.419744132,6.416648821,2.348016275,4.257222181,2.233792257,1.522968407,1.310080626,0.575000782,0.719613417,1.562427873,3.317040165,2.992935832,1.260817587,2.152816906,0.82820201,1.757679852,1.666840059,0.821076441,1.291823166,1.624004089,3.869937707,3.70877935,1.458663742,2.488779936,1.169022965,2.20711532,1.76580146,0.913178794,1.483110007,0.276461294,0.181000702,0.155701678,0.067433638,0.079502568
P2_10,16.20760864,5.546523366,3.598632423,2.036230982,6.767221821,6.917630488,1.902340009,4.554992705,2.408847736,2.133312883,1.821420082,0.696449303,1.197497865,1.536162113,3.465046283,3.411305454,1.033784982,2.293039208,0.956282937,1.935108477,1.920136169,0.746105092,1.324178699,1.10371,3.292711733,3.374097093,0.961718111,2.114811433,1.126472502,2.219805554,2.031012793,0.717204199,1.514821059,0.620866055,0.640910296,0.591010339,0.236901826,0.373817496
